epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,183.655,0.9871,7.29994,1.96592,1.30542,0.91025,0.37254,0.58759,0.44215,0.82158,0.01667,0.01636,0.00164,1.71528,5.14367,2.29515,1.48976,2.40837e-05,2.40837e-05,2.40837e-05
30,191.263,1.19276,6.64648,2.70037,1.47322,0.91025,0.37254,0.58759,0.44215,0.82158,0.01667,0.01636,0.00164,1.71528,5.14367,2.29515,1.48976,2.46022e-05,2.46022e-05,2.46022e-05
31,198.29,1.01184,7.45731,1.8118,1.2687,0.88453,0.38333,0.57964,0.44217,0.82133,0.01667,0.01636,0.00327,1.74967,5.14427,2.33251,1.52233,2.50971e-05,2.50971e-05,2.50971e-05
32,205.03,0.76403,6.33981,1.69012,1.13228,0.88453,0.38333,0.57964,0.44217,0.82133,0.01667,0.01636,0.00327,1.74967,5.14427,2.33251,1.52233,2.55685e-05,2.55685e-05,2.55685e-05
33,212.074,0.67214,6.991,1.75425,1.161,0.88388,0.38333,0.49748,0.36798,0.82134,0.01667,0.01638,0.00328,1.76146,5.14568,2.37209,1.56313,2.60163e-05,2.60163e-05,2.60163e-05
34,220.15,0.9777,6.75537,1.5539,1.29497,0.88388,0.38333,0.49748,0.36798,0.82134,0.01667,0.01638,0.00328,1.76146,5.14568,2.37209,1.56313,2.64405e-05,2.64405e-05,2.64405e-05
35,229.571,0.86941,6.17459,2.25846,1.27479,0.89337,0.39694,0.49854,0.36832,0.82146,0.01667,0.01638,0.00328,1.77563,5.14628,2.37846,1.58127,2.68412e-05,2.68412e-05,2.68412e-05
36,237.987,1.06178,6.40714,1.77806,1.35389,0.89337,0.39694,0.49854,0.36832,0.82146,0.01667,0.01638,0.00328,1.77563,5.14628,2.37846,1.58127,2.72183e-05,2.72183e-05,2.72183e-05
37,243.236,0.73173,6.62758,1.58381,1.1227,0.87286,0.38333,0.4971,0.36775,0.8216,0.01667,0.0164,0.00328,1.76201,5.14706,2.38487,1.58055,2.75718e-05,2.75718e-05,2.75718e-05
38,248.964,0.45732,6.75292,1.17697,0.971,0.87286,0.38333,0.4971,0.36775,0.8216,0.01667,0.0164,0.00328,1.76201,5.14706,2.38487,1.58055,2.79018e-05,2.79018e-05,2.79018e-05
39,258.249,0.85037,7.23354,1.22713,1.12194,0.86537,0.38373,0.46975,0.34342,0,0,0,0,1.76663,5.14771,2.41861,1.58926,2.82082e-05,2.82082e-05,2.82082e-05
40,265.385,0.629,6.75054,1.1341,1.04435,0.86537,0.38373,0.46975,0.34342,0,0,0,0,1.76663,5.14771,2.41861,1.58926,2.84911e-05,2.84911e-05,2.84911e-05
41,271.077,0.68462,6.47943,1.15406,1.01915,0.88856,0.38311,0.44097,0.31004,0,0,0,0,1.76484,5.14841,2.42745,1.59467,2.87504e-05,2.87504e-05,2.87504e-05
42,276.006,0.72557,5.99083,1.8752,1.09857,0.88856,0.38311,0.44097,0.31004,0,0,0,0,1.76484,5.14841,2.42745,1.59467,2.89861e-05,2.89861e-05,2.89861e-05
43,280.784,0.91153,6.26935,1.58959,1.18949,0.89092,0.3826,0.44317,0.31216,0,0,0,0,1.75381,5.14967,2.40899,1.58671,2.91983e-05,2.91983e-05,2.91983e-05
44,285.395,0.62513,6.36105,1.02243,1.09264,0.89092,0.3826,0.44317,0.31216,0,0,0,0,1.75381,5.14967,2.40899,1.58671,2.93869e-05,2.93869e-05,2.93869e-05
45,291.028,0.75714,6.51379,1.04883,1.0914,0.892,0.38319,0.44007,0.30905,0,0,0,0,1.75584,5.15069,2.38676,1.58582,2.9552e-05,2.9552e-05,2.9552e-05
46,298.756,0.78867,5.74459,1.45359,1.19736,0.892,0.38319,0.44007,0.30905,0,0,0,0,1.75584,5.15069,2.38676,1.58582,2.96935e-05,2.96935e-05,2.96935e-05
47,308.836,0.71147,6.14909,1.74698,1.12804,0.93562,0.38696,0.43484,0.28978,0,0,0,0,1.75095,5.15131,2.36485,1.55788,2.98114e-05,2.98114e-05,2.98114e-05
48,320.211,0.96497,6.04848,2.08663,1.26442,0.93562,0.38696,0.43484,0.28978,0,0,0,0,1.75095,5.15131,2.36485,1.55788,2.99058e-05,2.99058e-05,2.99058e-05
49,331.559,0.69665,5.96783,0.99818,1.15156,0.9355,0.3872,0.42302,0.29002,0,0,0,0,1.76203,5.15424,2.38813,1.56609,2.99766e-05,2.99766e-05,2.99766e-05
50,337.597,0.62059,5.76989,1.07831,1.12289,0.9355,0.3872,0.42302,0.29002,0,0,0,0,1.76203,5.15424,2.38813,1.56609,3.00238e-05,3.00238e-05,3.00238e-05
51,345.367,0.75725,5.88365,1.08901,1.10324,0.93637,0.3879,0.42442,0.29013,0,0,0,0,1.78754,5.15236,2.40514,1.59532,3.00475e-05,3.00475e-05,3.00475e-05
52,350.8,0.56146,5.55639,0.95257,1.00631,0.93637,0.3879,0.42442,0.29013,0,0,0,0,1.78754,5.15236,2.40514,1.59532,3.00476e-05,3.00476e-05,3.00476e-05
53,359.037,0.52633,6.17255,0.66869,1.01602,0.93637,0.3879,0.42442,0.29013,0,0,0,0,1.78754,5.15236,2.40514,1.59532,3.00242e-05,3.00242e-05,3.00242e-05
54,366.752,0.69843,5.67288,1.00081,1.13022,0.93761,0.39025,0.42901,0.32482,0.98711,0.01667,0.01665,0.00166,1.81428,5.15249,2.42411,1.61495,2.99772e-05,2.99772e-05,2.99772e-05
55,371.619,0.64099,5.67763,0.93203,1.01422,0.93761,0.39025,0.42901,0.32482,0.98711,0.01667,0.01665,0.00166,1.81428,5.15249,2.42411,1.61495,2.99066e-05,2.99066e-05,2.99066e-05
