epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,257.972,0.77551,8.36804,1.76096,1.11936,0.92167,0.37312,0.58923,0.43451,0.66667,0.03222,0.2075,0.14772,1.72743,5.12909,2.24907,1.47524,2.35417e-05,2.35417e-05,2.35417e-05
29,264.281,1.02924,7.5629,2.20047,1.32399,0.92205,0.3729,0.58735,0.45002,0.66667,0.03233,0.20076,0.14113,1.72853,5.12898,2.28645,1.48012,2.40837e-05,2.40837e-05,2.40837e-05
30,275.495,1.22535,6.89729,2.86408,1.50195,0.92205,0.3729,0.58735,0.45002,0.66667,0.03233,0.20076,0.14113,1.72853,5.12898,2.28645,1.48012,2.46022e-05,2.46022e-05,2.46022e-05
31,288.899,1.00772,7.96938,1.98271,1.29095,0.92207,0.37304,0.57807,0.42505,0.8228,0.01667,0.18333,0.13768,1.78387,5.12954,2.35421,1.52655,2.50971e-05,2.50971e-05,2.50971e-05
32,305.747,0.77159,6.6957,1.83558,1.14599,0.92207,0.37304,0.57807,0.42505,0.8228,0.01667,0.18333,0.13768,1.78387,5.12954,2.35421,1.52655,2.55685e-05,2.55685e-05,2.55685e-05
33,311.643,0.71334,7.0769,1.84256,1.17241,0.92357,0.37323,0.49588,0.34243,0.82275,0.01667,0.10047,0.07136,1.79618,5.13001,2.39581,1.55543,2.60163e-05,2.60163e-05,2.60163e-05
34,317.701,0.99926,7.1695,1.74525,1.30683,0.92357,0.37323,0.49588,0.34243,0.82275,0.01667,0.10047,0.07136,1.79618,5.13001,2.39581,1.55543,2.64405e-05,2.64405e-05,2.64405e-05
35,322.912,0.88824,6.72691,2.4353,1.30611,0.92022,0.37266,0.46861,0.32607,0.82287,0.01667,0.07268,0.04923,1.8286,5.12984,2.41161,1.59386,2.68412e-05,2.68412e-05,2.68412e-05
36,328.03,1.09421,6.63295,1.93728,1.39617,0.92022,0.37266,0.46861,0.32607,0.82287,0.01667,0.07268,0.04923,1.8286,5.12984,2.41161,1.59386,2.72183e-05,2.72183e-05,2.72183e-05
37,333.345,0.73712,7.57213,1.74526,1.13738,0.92189,0.37299,0.46886,0.33416,0.82311,0.01667,0.07274,0.04924,1.81941,5.12988,2.40389,1.59262,2.75718e-05,2.75718e-05,2.75718e-05
38,338.295,0.45796,6.71436,1.32084,0.97662,0.92189,0.37299,0.46886,0.33416,0.82311,0.01667,0.07274,0.04924,1.81941,5.12988,2.40389,1.59262,2.79018e-05,2.79018e-05,2.79018e-05
39,347.592,0.85941,7.71795,1.32299,1.12289,0.91663,0.37237,0.44908,0.31536,0.5443,0.03333,0.05601,0.03261,1.80563,5.12981,2.40808,1.57784,2.82082e-05,2.82082e-05,2.82082e-05
40,355.659,0.69234,7.0398,1.29042,1.06765,0.91663,0.37237,0.44908,0.31536,0.5443,0.03333,0.05601,0.03261,1.80563,5.12981,2.40808,1.57784,2.84911e-05,2.84911e-05,2.84911e-05
41,360.557,0.70067,7.148,1.27221,1.03078,0.91785,0.37236,0.43822,0.30678,0.54445,0.03333,0.04644,0.02503,1.79876,5.12712,2.35666,1.56731,2.87504e-05,2.87504e-05,2.87504e-05
42,365.941,0.7312,6.26578,2.13243,1.13411,0.91785,0.37236,0.43822,0.30678,0.54445,0.03333,0.04644,0.02503,1.79876,5.12712,2.35666,1.56731,2.89861e-05,2.89861e-05,2.89861e-05
43,370.536,0.95496,6.40861,1.66273,1.20375,0.91892,0.37218,0.43615,0.30421,0.54415,0.03333,0.04362,0.02269,1.8228,5.1264,2.41139,1.61791,2.91983e-05,2.91983e-05,2.91983e-05
44,374.905,0.62628,6.75057,1.13474,1.08535,0.91892,0.37218,0.43615,0.30421,0.54415,0.03333,0.04362,0.02269,1.8228,5.1264,2.41139,1.61791,2.93869e-05,2.93869e-05,2.93869e-05
45,384.856,0.72177,6.82365,1.20998,1.09038,0.9246,0.3725,0.43461,0.30248,0.56673,0.05,0.06087,0.03074,1.80733,5.12877,2.35297,1.60193,2.9552e-05,2.9552e-05,2.9552e-05
46,400.772,0.85453,6.15295,1.6329,1.24567,0.9246,0.3725,0.43461,0.30248,0.56673,0.05,0.06087,0.03074,1.80733,5.12877,2.35297,1.60193,2.96935e-05,2.96935e-05,2.96935e-05
47,411.894,0.70589,6.3226,1.76884,1.1285,0.92877,0.37321,0.42426,0.29347,0.56655,0.05,0.03681,0.013,1.78048,5.12918,2.31284,1.56362,2.98114e-05,2.98114e-05,2.98114e-05
48,1286.98,0.97677,6.22722,2.15744,1.27094,0.92877,0.37321,0.42426,0.29347,0.56655,0.05,0.03681,0.013,1.78048,5.12918,2.31284,1.56362,2.99058e-05,2.99058e-05,2.99058e-05
49,1301.94,0.72764,6.2796,1.07492,1.17389,0.93016,0.3733,0.41722,0.29332,0.56703,0.05,0.03663,0.01296,1.7812,5.12975,2.33397,1.57591,2.99766e-05,2.99766e-05,2.99766e-05
50,1309.68,0.63942,6.03956,1.11228,1.13306,0.93016,0.3733,0.41722,0.29332,0.56703,0.05,0.03663,0.01296,1.7812,5.12975,2.33397,1.57591,3.00238e-05,3.00238e-05,3.00238e-05
51,1314.45,0.76717,6.15306,1.19241,1.11922,0.93443,0.37297,0.41709,0.29488,0.66667,0.03224,0.04216,0.01595,1.76501,5.1303,2.3149,1.56333,3.00475e-05,3.00475e-05,3.00475e-05
52,1319.62,0.57712,5.79451,0.97119,1.02137,0.93443,0.37297,0.41709,0.29488,0.66667,0.03224,0.04216,0.01595,1.76501,5.1303,2.3149,1.56333,3.00476e-05,3.00476e-05,3.00476e-05
53,1325.09,0.52646,6.24378,0.69583,1.01854,0.93443,0.37297,0.41709,0.29488,0.66667,0.03224,0.04216,0.01595,1.76501,5.1303,2.3149,1.56333,3.00242e-05,3.00242e-05,3.00242e-05
54,1329.48,0.70777,6.09707,1.1373,1.14724,0.94069,0.39049,0.42665,0.29781,0.57018,0.05,0.0433,0.01535,1.71787,5.13166,2.264,1.48604,2.99772e-05,2.99772e-05,2.99772e-05
55,1333.74,0.62676,6.10929,0.96953,1.02563,0.94069,0.39049,0.42665,0.29781,0.57018,0.05,0.0433,0.01535,1.71787,5.13166,2.264,1.48604,2.99066e-05,2.99066e-05,2.99066e-05
56,1339.82,0.87469,5.7852,1.78443,1.18667,0.94069,0.39049,0.42665,0.29781,0.57018,0.05,0.0433,0.01535,1.71787,5.13166,2.264,1.48604,2.98125e-05,2.98125e-05,2.98125e-05
57,1346.37,1.01694,6.19711,1.72085,1.37552,0.94241,0.38828,0.42799,0.30073,0.56915,0.05,0.04327,0.01535,1.74642,5.13313,2.29417,1.51042,2.96948e-05,2.96948e-05,2.96948e-05
58,1350.96,0.80891,5.80423,1.74455,1.26292,0.94241,0.38828,0.42799,0.30073,0.56915,0.05,0.04327,0.01535,1.74642,5.13313,2.29417,1.51042,2.95535e-05,2.95535e-05,2.95535e-05
59,1356.01,0.89316,5.90981,1.09575,1.23456,0.94241,0.38828,0.42799,0.30073,0.56915,0.05,0.04327,0.01535,1.74642,5.13313,2.29417,1.51042,2.93887e-05,2.93887e-05,2.93887e-05
60,1360.59,0.721,5.92459,1.15002,1.18928,0.93769,0.38804,0.42559,0.30031,0.66667,0.03239,0.04117,0.01503,1.77374,5.13546,2.3291,1.54033,2.92003e-05,2.92003e-05,2.92003e-05
61,1364.78,0.71866,5.67479,1.04139,1.13078,0.93769,0.38804,0.42559,0.30031,0.66667,0.03239,0.04117,0.01503,1.77374,5.13546,2.3291,1.54033,2.89884e-05,2.89884e-05,2.89884e-05
62,1369.32,0.76212,5.73894,1.3922,1.11979,0.93769,0.38804,0.42559,0.30031,0.66667,0.03239,0.04117,0.01503,1.77374,5.13546,2.3291,1.54033,2.87529e-05,2.87529e-05,2.87529e-05
63,1373.74,0.84735,5.78211,1.22364,1.19869,0.93306,0.38755,0.42603,0.33384,0.66667,0.03275,0.04124,0.00895,1.77733,5.13697,2.30716,1.53497,2.84938e-05,2.84938e-05,2.84938e-05
64,1377.79,0.66319,6.03384,1.05425,1.12368,0.93306,0.38755,0.42603,0.33384,0.66667,0.03275,0.04124,0.00895,1.77733,5.13697,2.30716,1.53497,2.82112e-05,2.82112e-05,2.82112e-05
65,1382.84,0.62793,5.65935,0.96712,1.15153,0.93306,0.38755,0.42603,0.33384,0.66667,0.03275,0.04124,0.00895,1.77733,5.13697,2.30716,1.53497,2.7905e-05,2.7905e-05,2.7905e-05
66,1387.54,0.84972,5.91671,1.29404,1.19291,0.93119,0.38589,0.42502,0.32143,0.66667,0.03309,0.0413,0.00811,1.77724,5.13892,2.33758,1.52773,2.75753e-05,2.75753e-05,2.75753e-05
67,1393.72,0.80588,5.66666,1.45937,1.17877,0.93119,0.38589,0.42502,0.32143,0.66667,0.03309,0.0413,0.00811,1.77724,5.13892,2.33758,1.52773,2.7222e-05,2.7222e-05,2.7222e-05
68,1399.03,1.00255,5.9068,1.98306,1.41223,0.93119,0.38589,0.42502,0.32143,0.66667,0.03309,0.0413,0.00811,1.77724,5.13892,2.33758,1.52773,2.68451e-05,2.68451e-05,2.68451e-05
69,1403.56,0.6511,5.8465,1.33558,1.11472,0.93032,0.38598,0.42779,0.32311,0.54602,0.03333,0.01478,0.00555,1.76621,5.14112,2.3297,1.51346,2.64447e-05,2.64447e-05,2.64447e-05
70,1407.44,0.70678,5.48573,1.17733,1.19022,0.93032,0.38598,0.42779,0.32311,0.54602,0.03333,0.01478,0.00555,1.76621,5.14112,2.3297,1.51346,2.60207e-05,2.60207e-05,2.60207e-05
71,1411.38,0.91776,6.20945,1.9279,1.31815,0.93032,0.38598,0.42779,0.32311,0.54602,0.03333,0.01478,0.00555,1.76621,5.14112,2.3297,1.51346,2.55731e-05,2.55731e-05,2.55731e-05
72,1415.53,0.64777,5.59648,0.87796,1.0856,0.92734,0.38544,0.42768,0.32287,0.55143,0.03333,0.0148,0.00556,1.75481,5.14466,2.32663,1.49473,2.5102e-05,2.5102e-05,2.5102e-05
73,1419.52,0.91355,5.90071,1.40653,1.23996,0.92734,0.38544,0.42768,0.32287,0.55143,0.03333,0.0148,0.00556,1.75481,5.14466,2.32663,1.49473,2.46073e-05,2.46073e-05,2.46073e-05
74,1423.93,0.71643,5.78151,1.11321,1.12468,0.92734,0.38544,0.42768,0.32287,0.55143,0.03333,0.0148,0.00556,1.75481,5.14466,2.32663,1.49473,2.40891e-05,2.40891e-05,2.40891e-05
75,1429.46,0.62591,5.78217,0.68521,1.0582,0.91969,0.38865,0.42869,0.32303,0.55225,0.03333,0.01481,0.0047,1.7603,5.14781,2.33515,1.50393,2.35472e-05,2.35472e-05,2.35472e-05
76,1433.91,0.55839,5.50485,1.0996,1.09137,0.91969,0.38865,0.42869,0.32303,0.55225,0.03333,0.01481,0.0047,1.7603,5.14781,2.33515,1.50393,2.29819e-05,2.29819e-05,2.29819e-05
